Kategori,Judul,Link,Tanggal,Konten
Nasional,"Kesiapan Infrastruktur Haji di Arafah, Muzdalifah, dan Mina Sudah 75 Persen",https://nasional.kompas.com/read/2024/05/10/23073681/kesiapan-infrastruktur-haji-di-arafah-muzdalifah-dan-mina-sudah-75-persen,10/05/2024,"Menteri Agama Yaqut Cholil Quomas mengecek secara langsung infrastruktur ibadah haji di Arafah, Muzdalifah dan Mina.
Dalam kunjungan tersebut, pihak ketiga penyedia jasa infrastruktur menyebut, infrastruktur sudah siap 75 persen dan meminta penambahan infrastruktur pendingin dan kamar mandi.
""Infrastruktur 75 persen sudah siap. Akan ada penambahan pendingin juga. Juga akan ada tambahan kamar mandi di Arafah,"" kata Ketua Masyarik atau pihak ketiga, M Amin Indragiri dalam keterangan tertulis, Jumat (10/5/2024).

Selain itu, Amin menjelaskan layanan penerapan smart card, perluasan tenda misi haji di Arafah dan sejumlah tenda di Mina telah disiapkan.
""Kami akan meratakan dan mengeraskan tanah dalam tenda di Arafah. Sedang mengajukan izin dan mendapat persetujuan dari Kidanah,” ujar dia.
Amin juga menjelaskan bahwa di Muzdalifah, akan ada penambahan kamar mandi dalam jumlah yang cukup banyak.
Terkait layanan makanan cepat saji, Amin menjelaskan bahwa itu akan diberikan enam kali selama jemaah di Masyair.

Makanan itu sudah dalam perjalanan dan untuk kiriman pertama akan tiba pada 8 Mei 2024.
""Semua sudah melalui proses inkubasi. Terakhir pengiriman 20 Mei dengan kargo pesawat terbang,"" kata dia.
""Tahun ini, kami juga akan memberikan makanan Albaik. Kami sudah kontrak dengan empat cabang perusahaan di Makkah. Ada 230.000 porsi yang akan diberikan ketika jemaah haji meninggalkan Makkah,"" tutur dia."
Nasional,"Cek Pelabuhan Ketapang, Kabaharkam Pastikan Kesiapan Pengamanan World Water Forum 2024",https://nasional.kompas.com/read/2024/05/10/23012931/cek-pelabuhan-ketapang-kabaharkam-pastikan-kesiapan-pengamanan-world-water,10/05/2024,"Kepala Badan Pemelihara Keamanan (Kabaharkam) Polri Komjen Fadil Imran mengecek pengamanan di Pelabuhan Ketapang Banyuwangi, Jawa Timur, Jumat (10/4/2024).
Hal itu dilakukan untuk memastikan akses masuk menuju Bali selama World Water Forum (WWF) Ke-10 berjalan aman dan lancar.
Adapun World Water Forum ke-10 akan digelar tanggal 18-25 Mei 2024 di Pulau Dewata.
“Saya ingin memastikan dengan melakukan pengecekan kesiapan pengamanan akses masuk ke Bali melalui Pelabuhan Ketapang,” kata Fadil dalam keterangannya, Jumat malam.

Dia memastikan Polri siap mengamaankan pelaksanaan World Water Forum yang digelar tahun ini.
Menurut Fadil, Polri telah menyiapkan rencana pengamanan dengan sangat matang melalui Operasi Puri Agung 2024.
Dia mengatakan, setiap aspek yang diperlukan juga telah fokus disiapkan.
“Polri telah melaksanakan peninjauan menyeluruh dengan memeriksa infrastruktur keamanan di pelabuhan serta menyusun langkah-langkah pengamanan yang diperlukan,” ujar Fadil.
Mantan Kapolda Metro Jaya ini pun turut melakukan pengecekan bersama jajarannya di sejumlah titik, di antaranya ruang pementauan atau monitoring room ASDP, dermaga penyeberangan, serta melakukan pengecekan personel yang telah berjaga di sana.

Sebanyak 596 personel dari Satuan Tugas Wilayah Jawa Timur juga disiapkan untuk pengamanan pintu masuk ke Bali melalui Banyuwangi.
Selain di Banyuwangi, Fadil terbang ke Bali untuk mengecek kesiapan personel termasuk lokasi yang akan dijadikan kegiatan World Water Forum.
World Water Forum Ke-10 akan fokus membahas empat hal yakni konservasi air, air bersih dan sanitasi, ketahanan pangan dan energi, serta mitigasi bencana alam.
Sebanyak 244 sesi dalam forum tersebut diharapkan dapat memberikan hasil konkret mengenai pengarusutamaan pengelolaan air terpadu untuk pulau-pulau kecil atau Integrated Water Resources Management (IWRM) on Small Islands.
Selain itu, diharapkan dapat pembentukan pusat keunggulan atau praktik terbaik untuk ketahanan air dan iklim, serta penetapan Hari Danau Sedunia.
Pemerintah Indonesia mengundang 43 duta besar dan 4 organisasi internasional untuk turut berpartisipasi dalam WWF ke-10."
Nasional,"Prabowo Sebut Soekarno Milik Bangsa Indonesia, Ini Respons PDI-P",https://nasional.kompas.com/read/2024/05/10/21583721/prabowo-sebut-soekarno-milik-bangsa-indonesia-ini-respons-pdi-p,10/05/2024,"Ketua Dewan Pimpinan Pusat (DPP) Partai Demokrasi Indonesia Perjuangan (PDI-P) Said Abdullah mengaku berterima kasih kepada Prabowo Subianto yang menyebut bahwa Bung Karno adalah milik bangsa Indonesia dan semua golongan.
""Menjawab sejumlah pertanyaan wartawan atas pernyataan Prabowo, sebagai kader PDI-P, saya dan kawan-kawan PDI-P tentu sangat berterima kasih kepada Pak Prabowo atas apresiasinya. Bung Karno milik bangsa Indonesia, Bung Karno milik semua golongan,"" tutur Said melalui siaran persnya, Jumat (10/5/2024).
Oleh karenanya, dia berharap Prabowo bisa menjalankan pemerintahan sesuai ajaran Bung Karno.
""Kami di PDI-P sangat berharap pemerintahan Pak Prabowo kelak menjalankan ajaran ajaran Bung Karno,"" sambungnya.

Menurut Said, azimat penting dari Bung Karno adalah mewujudkan jalan Trisakti, yakni Indonesia berdaulat secara politik.
""Pak Prabowo bisa mewarisi api perjuangan Bung Karno, menguatkan jalan politik yang membawa Indonesia bukan dari blok politik tertentu, apa lagi hanya menjadi negara satelit untuk melayani kepentingan negara maju,"" jelasnya.
Dia juga berharap agar Prabowo punya elan untuk membawa Indonesia menjadi negara yang mandiri pangan dan energi.
""Sebab, 10 tahun pemerintahan Pak Jokowi melalui janji Nawa Cita, dua hal pokok itu belum tuntas. Kita masih bergantung akan kebutuhan impor pangan dan migas dalam skala besar,"" ucapnya.

Ia mencontohkan, setiap hari impor minyak bumi Indonesia mencapai 1 juta barel. Hal ini belum dibarengi dengan berbagai impor bahan-bahan pokok, seperti gula, gandum, jagung, beras, hingga garam.
""Jalan mandiri ekonomi kita harapkan bisa diraih selama masa pemerintahan Pak Prabowo. PDI-P juga berharap Pak Prabowo bisa memperkuat kebudayaan nasional,"" sebutnya.
Said menilai, bangsa Indonesia perlu mengokohkan jati dirinya lewat berbagai kebudayaan yang tidak kalah hebat dengan kebudayaan lain.
""Anak-anak muda kita bangga atas kebudayaannya, tidak dirasuki pengaruh kebudayaan bangsa lain dalam arus informasi yang begitu deras,"" tuturnya.

Lebih jauh, Said yakin bahwa kepemimpinan Prabowo akan bisa mandiri dari berbagai pengaruh politik masa lalu.
""Sehingga sebagai presiden terpilih, Pak Prabowo, memiliki otonomi penuh dalam menentukan kebutuhan formasi pemerintahannya ke depan. Kami menaruh hormat atas pilihan itu,"" lanjutnya."
Nasional,Ganjar Serahkan ke PDI-P soal Nama yang Bakal Maju Pilkada Jateng,https://nasional.kompas.com/read/2024/05/10/21255031/ganjar-serahkan-ke-pdi-p-soal-nama-yang-bakal-maju-pilkada-jateng,10/05/2024,"Mantan Gubernur Jawa Tengah Ganjar Pranowo mengaku belum bisa menyampaikan nama-nama yang bakal diusung partainya pada Pemilihan Kepala Daerah (Pilkada) Jawa Tengah 2024
Hal itu disampaikannya ketika ditanya soal persiapan Pilkada Jateng dari PDI-P.
Ganjar hanya menyebutkan bahwa partainya sedang mempersiapkan proses rekrutmen calon-calon kepala dan wakil daerah.
""Oh nanti, proses rekrutmen sedang berjalan ya, sebentar lagi,"" kata Ganjar ditemui di kawasan Tebet, Jakarta Selatan, Jumat (10/5/2024).

Ganjar juga menuturkan, PDI-P sudah biasa merekrut calon-calon pemimpin daerah.
Hal ini lantaran PDI-P sudah sering mengikuti jalannya kontestasi Pilkada.
""Partai sedang menyiapkan itu. Ini proses biasa saja,"" ujar eks calon presiden ini.
Adapun sebelumnya, Ganjar menyatakan bahwa ia akan membantu PDI-P di bidang kaderisasi untuk menyiapkan kader-kader terbaik partai banteng.
Namun, soal apakah itu berarti dirinya akan masuk sebagai pengurus DPP PDI-P, Ganjar belum bisa memastikan.
""Atau barangkali kita membantu kawan-kawan menyiapkan diri di jabatan publik, kaderisasi. Nanti saya akan membantu kawan-kawan yang besok maju Pilkada,"" kata Ganjar ditemui di Galeri Nasional, Jakarta Pusat, Rabu (8/5/2024).
Ganjar menyerahkan sepenuhnya kepada Ketua Umum PDI-P Megawati Soekarnoputri sebagai pemegang mandat partai.
Sejumlah nama yang digadang bakal maju dalam Pilkada Jawa Tengah, satu di antaranya adalah Kapolda Jawa Tengah, Irjen Pol Ahmad Luthfi.

Hal itu diketahui setelah nama Luthfi muncul di sejumlah survei bakal calon kepala daerah atau Pilkada 2024 di Jateng.
Nama Luthfi juga disejajarkan dengan Ketua DPD PDI-P Jateng Bambang Wuryanto atau Bambang Pacul, Ketua DPD Gerindra Jateng Sudaryono untuk pemilihan gubernur Jateng."
Nasional,"Prabowo Minta Pemerintahannya Tak Diganggu, Ini Kata Ganjar",https://nasional.kompas.com/read/2024/05/10/20444431/prabowo-minta-pemerintahannya-tak-diganggu-ini-kata-ganjar,10/05/2024,"Eks calon presiden Ganjar Pranowo meyakini pihak-pihak yang berada di luar pemerintahan Prabowo-Gibran kelak, justru akan membantu pemerintahan menjadi lebih baik.
Hal itu ia sampaikan merespons ucapan presiden terpilih, Prabowo Subianto, yang meminta kepada pihak-pihak luar untuk tidak mengganggu pemerintahannya nanti.
""Yang di luar jangan-jangan malah membantu, karena mengingatkan yang baik, begitu ya,"" kata Ganjar ditemui di kawasan Tebet, Jakarta Selatan, Jumat (10/5/2024).

Ganjar yang sudah menyatakan sebagai oposisi Prabowo-Gibran usai kalah pilpres ini meyakini, tak ada niatan bagi pihak di luar untuk mengganggu jalannya pemerintahan.
Pihak-pihak di luar atau yang tidak bekerja sama dalam pemerintahan, justru akan menjadi penyeimbang yang bisa membuat kerja pemerintah berjalan lebih baik.
Pihak-pihak yang dimaksud Ganjar adalah partai politik hingga koalisi masyarakat sipil.
""Dan check and balances akan berjalan. Dan kalau kemudian partai politik, katakan tidak ikut di pemerintahan, masyarakat sipil tidak ikut di pemerintahan lho, masyarakat sipil bisa lho memberikan catatan-catatan kritis,"" jelasnya.
Oleh karena itu, mantan Gubernur Jawa Tengah ini meminta agar ruang penyeimbang pemerintahan tetap dibuka lebar.

Diberitakan sebelumnya, Prabowo Subianto meminta kepada pihak-pihak yang tidak mau diajak kerja sama untuk tidak mengganggu pemerintahannya kelak.
Prabowo menegaskan dirinya hanya ingin bekerja dan mengamankan kekayaan bangsa.
Hal tersebut Prabowo sampaikan dalam acara bimtek dan rakornas pilkada PAN di Hotel JS Luwansa, Jakarta Selatan, Kamis (9/5/2024) malam.
""Saya akan berjuang terus bersama semua kekuatan yang mau diajak kerja sama. Yang tidak mau diajak kerja sama tidak apa-apa. Kalau ada yang mau nonton di pinggir jalan, silakan jadi penonton yang baik,"" ujar Prabowo.
""Tapi kalau sudah tidak mau diajak kerja sama, ya jangan mengganggu. Orang lagi mau kerja kok. Kita mau kerja. Kita mau kerja. Kita mau amankan kekayaan bangsa Indonesia,"" sambungnya."
Nasional,"Bertemu Calon-calon Kepala Daerah, Zulhas Minta Mereka Tiru Semangat Jokowi dan Prabowo",https://nasional.kompas.com/read/2024/05/10/20412041/bertemu-calon-calon-kepala-daerah-zulhas-minta-mereka-tiru-semangat-jokowi,10/05/2024,"Ketua Umum Partai Amanat Nasional (PAN) Zulkifli Hasan (Zulhas) mengimbau calon kepala daerah yang diusung PAN pada Pemilihan Kepala Daerah (Pilkada) 2024 mewarisi semangat Presiden Joko Widodo (Jokowi) dan Prabowo Subianto.
Hal tersebut disampaikan Zulhas pada Rapat Koordinasi Nasional (Rakornas) PAN di JS Luwansa, Kuningan, Jakarta Selatan, Jumat (10/5/2024).
Zulhas menilai, Jokowi dan Prabowo mampu mengesampingkan sakit hati dan hinaan demi kemajuan Indonesia.
Ia mencontohkan, Prabowo yang kalah pada Pemilihan Presiden (Pilpres) 2014 dan 2019, tetap bersedia menerima ""pinangan"" Jokowi menjadi Menteri Pertahanan (Menhan).

“Saya minta nanti gubernur, bupati, serta wali kota yang diusung PAN semangatnya harus sama seperti Jokowi dan Prabowo,” kata Zulhas di JS Luwansa, Jumat (10/5/2024).
Zulhas menambahkan, akrabnya hubungan Prabowo dan Jokowi membuat pergantian kepemimpinan berjalan mulus. Hal ini membawa manfaat besar untuk kemajuan Indonesia.
Ia mencontohkan, beberapa presiden Indonesia sebelumnya mengakhiri kekuasaan dengan akhir yang tidak menyenangkan.
""Dulu, Bung Karno turunnya gak enak. Begitu juga dengan Soeharto dan Gus Dur. Sementara itu, Jokowi menarik Prabowo untuk masuk ke kabinetnya. Ini merupakan kerja sama yang luar biasa,” tambahnya.

Terkait rekomendasi calon kepala daerah, PAN tidak hanya berfokus pada satu orang dan akan menilai rekam jejak dan elektoral setiap calon.
Pasalnya, untuk dapat mengusung calon di Pilkada 2024, partainya masih membutuhkan koalisi dengan partai lain.
Oleh karena itu, calon kepala daerah dapat berkoordinasi dengan pendukungnya untuk menilai kepatutan. Selanjutnya, PAN akan menilai calon kepala daerah pada aspek elektoral beserta rekam jejak untuk menilai peluang kemenangan.
Selain itu, calon kepala daerah juga dapat menilai apakah dukungan yang diberikan partai memiliki kekuatan elektoral atau tidak. Sebab, PAN juga akan memilah dan memutuskan pihak yang akan diusung.

“Untuk memutuskan hal tersebut, kami sama sekali tidak ada urusan pribadi. Kami ingin yang terbaik untuk Indonesia. Calon yang datang dari kabupaten, kota, atau provinsi merupakan saudara karena semuanya dekat dan sahabat kami,"" imbuhnya.
Dalam memberikan rekomendasi calon kepala daerah, Zulhas menilai bahwa saat ini, hasil survei bukanlah satu-satunya metode yang sahih. Pasalnya, terdapat berbagai faktor yang dapat menentukan kemenangan di Pilkada 2024, seperti koalisi dan ketokohan.
Selain itu, pemilih muda yang sebagian besar milenial dan generasi Z (gen Z) juga mempertimbangkan jejak digital calon.
“Survei sebagai indikator oke, tapi bukan satu-satunya. Kami sudah pernah mengalami mendapatkan hasil survei yang oke, tapi kalah saat pemilihan,” kata Zulhas.

Zulhas berpesan agar calon gubernur, wali kota, serta bupati yang diusung PAN harus berkomitmen membangun daerah dan bebas dari budaya ""minta proyek"".
“PAN tidak pernah minta proyek. Bisa cek gubernur, bupati, atau wali kota yang kami usung tidak meminta proyek. Kami hanya minta mereka penuhi janjinya seperti matahari yang tidak pernah ingkar janji,” pungkasnya."
Nasional,7 Jenis Obat-obatan yang Disarankan Dibawa Jamaah Haji Asal Indonesia,https://nasional.kompas.com/read/2024/05/10/20353031/7-jenis-obat-obatan-yang-disarankan-dibawa-jamaah-haji-asal-indonesia,10/05/2024,"Kepala Seksi Lansia, Disabilitas, dan Penanganan Krisis dan Pertolongan Pertama pada Jemaah Haji (PKP3JH) daerah kerja Madinah, Leksmana, menyebut ada beberapa penyakit yang sering dialami jemaah haji asal Indonesia.
Pertama adalah infeksi saluran pernapasan atas (ISPA) yang disebabkan oleh berbagai macam kondisi.
""Karena kerumunan besar jemaah, polusi udara, dan perubahan suhu yang drastis di Mekah dan Madinah."" kata Leksmana dalam keterangan tertulis, Jumat (10/5/2024).

Selain itu, gangguan pencernaan seperti diare, muntah, sakit perut menjadi langganan karena perubahan pola makan dan air minum yang berbeda.
""Dan sanitasi yang mungkin tidak memadai juga perlu diwaspadai,"" imbuhnya.
Leksmana juga menyebutkan dehidrasi menjadi risiko yang serius jika jemaah tak cukup minum air.
Dehidrasi akut ini bisa terjadi karena cuaca panas di Makkah dan Madinah yang sangat panas.

Selain itu, penyakit kulit, infeksi jamur, ruam panas, atau luka akibat gesekan pakaian bisa terjadi karena panas dan kelembaban yang tinggi.
""Penyakit menular, seperti flu, demam, atau penyakit menular lainnya karena interaksi dengan jemaah dari berbagai negara dengan kondisi kesehatan yang berbeda juga perlu diantisipasi."" ujarnya.
Untuk jemaah yang memiliki penyakit kronis juga bisa kambuh saat berada di Tanah Suci. Kondisi seperti hipertensi, diabetes, atau penyakit jantung bisa menjadi lebih sulit dikontrol karena perubahan pola makan, kurang istirahat, dan stres selama perjalanan.

""Serta trauma atau cedera, terutama karena kerumunan besar dalam melakukan ritual seperti tawaf dan melempar jumrah."" imbuh dia.
Untuk itu, ia merekomendasikan beberapa obat yang disarankan untuk dibawa oleh jemaah haji yaitu; obat antidiare, obat pencernaan, obat pereda nyeri, obat alergi, obat untuk masalah kulit, obat flu dan batuk, serta obat pribadi yang biasa dikonsumsi untuk kondisi kesehatan tertentu.
Seperti obat untuk tekanan darah tinggi, diabetes, jantung atau kondisi medis lainnya."
Nasional,"Visa Terbit, 213.079 Jemaah Haji Indonesia Siap Berangkat 12 Mei",https://nasional.kompas.com/read/2024/05/10/20333661/visa-terbit-213079-jemaah-haji-indonesia-siap-berangkat-12-mei,10/05/2024,"Direktur Layanan Haji Dalam Negeri Saiful Mujab menyampaikan, ada 213.079 visa haji yang diterbitkan Kerajaan Arab Saudi untuk jemaah haji asal Indonesia.
Jumlah tersebut setara 554 kelompok terbang (kloter) yang siap diberangkatkan pada 12 Mei 2024.
""Sampai hari ini, sebanyak 213.079 jemaah sudah terbit visanya,"" katanya dalam keterangan tertulis, Jumat (10/5/2024).

Ia menyampaikan, penerbitan visa jemaah haji sebenarnya sudah mencapai 100 persen, namun dalam proses ada jamaah yang membatalkan keberangkatan karena beragam sebab seperti sakit, wafat, dan alasan lainnya.
Sebab itu, Tim Dokumen Haji sedang memproses 241 visa pengganti jemaah yang visanya sudah diterbitkan tetapi batal berangkat.
Saiful berharap, jemaah yang visanya sudah diterbitkan bisa menjaga kesehatan dan bisa menjalani ibadah haji ke Arab Saudi.
Adapun 554 kloter yang akan diterbangkan berasal dari 14 embarkasi haji.
""Sebanyak 294 kloter terbang dengan Garuda Indonesia, 260 kloter terbang dengan Saudia Airlines,"" papar dia.

Jemaah haji Indonesia akan mulai terbang ke Arab Saudi pada 12 Mei 2024.
Pemberangkatan jemaah akan berlangsung hingga 10 Juni 2024.
""Sebanyak 437 petugas Daker Bandara dan Daker Madinah sudah diberangkatkan untuk bersiap menyambut kedatangan dan melayani jemaah haji Indonesia,"" ujar dia."
Nasional,"Soal Usulan Yandri Susanto Jadi Menteri, Ketum PAN: Itu Hak Prerogatif Presiden",https://nasional.kompas.com/read/2024/05/10/20192941/soal-usulan-yandri-susanto-jadi-menteri-ketum-pan-itu-hak-prerogatif,10/05/2024,"Ketua Umum Partai Amanat Nasional (PAN) Zulkifli Hasan tidak banyak berkomentar mengenai usulan partainya menjadikan Wakil Ketua Umum PAN Yandri Susanto sebagai menteri di pemerintahan Prabowo Subianto-Gibran Rakabuming Raka nanti.
Menteri Perdagangan (Mendag) ini menyatakan, penunjukan menteri adalah hak prerogatif presiden.
""Ini menteri semua, banyak ini. Lihat, nih. Menteri itu hak prerogatif presiden, terserah beliau,"" kata Zulhas sembari menunjuk sejumlah kader Dewan Pimpinan Daerah (DPW) PAN di Kompleks Istana Kepresidenan, Jakarta, Rabu (10/5/2024) sore.

Zulhas pun enggan menjawab berapa kursi menteri yang dimintanya kepada Presiden Terpilih.
Begitu pula ketika ditanya mengenai siapa nama-nama elite PAN yang diusulkan menjadi menteri di pemerintahan baru.
""Terima kasih. Terima kasih, ayo naik bus,"" tuturnya menyudahi sesi doorstop.
Sama dengan Zulhas, Waketum PAN Yandri Susanto yang saat itu mendampingi Zulhas ke istana juga memilih tak menjawab secara substantif.
Ia menyatakan, kedatangan ke istana bersama DPW 37 provinsi hanya silaturahmi.
""Enggak, enggak (mau komentar). Kita ini silaturahim biasa,"" kata dia sembari masuk ke mobil yang sama dengan Zulhas.

Sebelumnya diberitakan, Ketua DPP PAN Saleh Partaonan Daulay mengungkapkan ada nama lain selain Eko Patrio yang diusulkan partainya menjadi menteri di kabinet pemerintahan Prabowo-Gibran kelak, yakni Waketum PAN Yandri Susanto.
Saleh menyebutkan, usulan agar Yandri menjadi menteri di kabinet Prabowo-Gibran dibahas dalam rapat koordinasi nasional (rakornas) PAN yang digelar di Jakarta pada Kamis (9/5/2024).
""Rakornas dan bimtek kali ini menarik. Pasalnya, para peserta dari daerah ternyata tidak hanya membicarakan pilkada. Namun, ada ramai perbincangan terkait calon-calon menteri dari PAN. Salah seorang nama yang banyak disebut adalah Yandri Susanto,"" kata Saleh dalam keterangan tertulis, Kamis.

Saleh berpandangan, Yandri merupakan kader utama PAN yang bergerak dari bawah serta sosok pekerja keras. Ia mengaku sudah kenal puluhan tahun dengan Yandri yang kini menjabat sebagai wakil ketua MPR itu.
""Saya tahu banyak karya Mas Yandri yang cukup berhasil, tidak hanya di PAN tetapi juga di luar partai. Dia pekerja keras, ulet, tangguh, pantang menyerah, bersahabat, ramah, dan memiliki jaringan yang cukup luas,"" kata Saleh."
Nasional,"Di Australia, TNI AU Bahas Latihan Bersama Angkatan Udara Jepang",https://nasional.kompas.com/read/2024/05/10/20104781/di-australia-tni-au-bahas-latihan-bersama-angkatan-udara-jepang,10/05/2024,"TNI Angkatan Udara (AU) membahas kemungkinan latihan bersama dengan Angkatan Udara Jepang atau Japan Air Self Defence.
Pembahasan dilakukan saat Wakil Kepala Staf TNI AU (Wakasau) Marsdya Andyawan Martono bertemu Kepala Staf AU Jepang Letjen Takuto Ogaswara di sela-sela acara Air and Space Conference 2024, di Canberra, Australia, Kamis (9/5/2024) waktu setempat.
“Kedua pejabat tersebut membicarakan kemungkinan untuk melaksanakan Latihan Bersama (joint exercises) antara kedua Angkatan Udara,” kata Kepala Dinas Penerangan TNI AU (Kadispenau) Kolonel (Pnb) Ardi Syahri dalam keterangan tertulis, Jumat (10/5/2024).

Dalam kesempatan itu, Wakasau Andyawan juga menjelaskan terkait pentingnya kehadiran delegasi TNI AU dalam Air and Space Power Conference 2024.
Saat bertemu Duta Besar RI untuk Australia dan Vanuatu Siswo Pramono, Kamis, Andyawan berkomitmen memperkuat hubungan antara TNI AU dengan Royal Australian Air Force (RAAF) atau AU Australia.
Andyawan juga berkesempatan bertemu dengan pihak Space Commander of the French Space Command pada Selasa (7/5/2024).

“Pada kegiatan diskusi ini, Wakasau menyatakan ketertarikan TNI AU untuk bisa belajar lebih banyak tentang pemanfaatan ruang angkasa dan membicarakan tentang French Space Command yang sudah melaksanakan AsterX atau latihan militer ruang angkasa berbasis War Games,” kata Kadispenau.
Andyawan juga menyampaikan terima kasih kepada Kedutaan Perancis yang telah berkenan mengundang perwakilan Indonesia untuk mengikuti kursus space military selama beberapa hari di Perancis pada pertengahan tahun ini."
